index,app_name,number_of_ratings,overall_rating,category,cost
0,Airbnb,476100.0,4.8,Travel,0
1,Bitmoji,84700.0,4.2,Utilities,0
2,CNN:,430100.0,4.7,News,0
3,Weather,1200000.0,4.6,Weather,0
4,Dubsmash,101900.0,4.7,Photo & Video,0
5,Eventbrite,300300.0,4.9,Entertainment,0
6,Fitbit:,89700.0,4.1,Health & Fitness,0
7,Wallapop,679000.0,4.7,Shopping,0
8,Flipboard,243500.0,4.7,News,0
9,Groupon,232800.0,4.8,Shopping,0
10,Hotwire,106500.0,4.8,Travel,0
11,Imgur,43200.0,4.6,Photo & Video,0
12,KAYAK,251600.0,4.8,Travel,0
13,LinkedIn:,57500.0,4.4,Business,0
14,Lyft,8000000.0,4.9,Travel,0
15,Medium,64900.00000000001,4.8,News,0
16,Meetup,42600.0,4.7,Social Networking,0
17,Microsoft,281,3.1,Photo & Video,0
18,Mint,1100.0,4.6,Utilities,0
19,MyFitnessPal,1000000.0,4.7,Health & Fitness,0
20,Pandora:,6700000.0,4.8,Music,0
21,Product,218,3.1,Social Networking,0
22,Timehop,90400.0,4.8,Social Networking,0
23,Truecaller,174800.0,4.5,Utilities,0
24,Tumblr,224500.0,4.0,Social Networking,0
25,Twitter,2700000.0,4.7,News,0
26,VSCO:,33800.0,4.4,Photo & Video,0
27,Venmo,8400000.0,4.9,Finance,0
28,Vimeo,2500.0,4.0,Photo & Video,0
